id,description,name
8248 ,8248 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,Saris & Lehengas
7281 ,7281 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Traditional Leather Pants,Traditional Leather Pants
5676 ,5676 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Yukata,Yukata
213 ,213 - Apparel & Accessories > Clothing > Underwear & Socks,Underwear & Socks
7207 ,7207 - Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories,Bra Accessories
7208 ,7208 - Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Bra Strap Pads,Bra Strap Pads
7211 ,7211 - Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Bra Straps & Extenders,Bra Straps & Extenders
7210 ,7210 - Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Breast Enhancing Inserts,Breast Enhancing Inserts
7209 ,7209 - Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Breast Petals & Concealers,Breast Petals & Concealers
214 ,214 - Apparel & Accessories > Clothing > Underwear & Socks > Bras,Bras
215 ,215 - Apparel & Accessories > Clothing > Underwear & Socks > Hosiery,Hosiery
5327 ,5327 - Apparel & Accessories > Clothing > Underwear & Socks > Jock Straps,Jock Straps
1772 ,1772 - Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,Lingerie
2563 ,2563 - Apparel & Accessories > Clothing > Underwear & Socks > Lingerie Accessories,Lingerie Accessories
2160 ,2160 - Apparel & Accessories > Clothing > Underwear & Socks > Lingerie Accessories > Garter Belts,Garter Belts
1675 ,1675 - Apparel & Accessories > Clothing > Underwear & Socks > Lingerie Accessories > Garters,Garters
1807 ,1807 - Apparel & Accessories > Clothing > Underwear & Socks > Long Johns,Long Johns
2963 ,2963 - Apparel & Accessories > Clothing > Underwear & Socks > Petticoats & Pettipants,Petticoats & Pettipants
1578 ,1578 - Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,Shapewear
209 ,209 - Apparel & Accessories > Clothing > Underwear & Socks > Socks,Socks
2745 ,2745 - Apparel & Accessories > Clothing > Underwear & Socks > Undershirts,Undershirts
2562 ,2562 - Apparel & Accessories > Clothing > Underwear & Socks > Underwear,Underwear
5834 ,5834 - Apparel & Accessories > Clothing > Underwear & Socks > Underwear Slips,Underwear Slips
2306 ,2306 - Apparel & Accessories > Clothing > Uniforms,Uniforms
5484 ,5484 - Apparel & Accessories > Clothing > Uniforms > Contractor Pants & Coveralls,Contractor Pants & Coveralls
5878 ,5878 - Apparel & Accessories > Clothing > Uniforms > Flight Suits,Flight Suits
7235 ,7235 - Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms,Food Service Uniforms
7237 ,7237 - Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms > Chef's Hats,Chef's Hats
2396 ,2396 - Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms > Chef's Jackets,Chef's Jackets
7236 ,7236 - Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms > Chef's Pants,Chef's Pants
5949 ,5949 - Apparel & Accessories > Clothing > Uniforms > Military Uniforms,Military Uniforms
206 ,206 - Apparel & Accessories > Clothing > Uniforms > School Uniforms,School Uniforms
3414 ,3414 - Apparel & Accessories > Clothing > Uniforms > Security Uniforms,Security Uniforms
3598 ,3598 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms,Sports Uniforms
3888 ,3888 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > American Football Uniforms,American Football Uniforms
3191 ,3191 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Baseball Uniforms,Baseball Uniforms
3439 ,3439 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Basketball Uniforms,Basketball Uniforms
3683 ,3683 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Cheerleading Uniforms,Cheerleading Uniforms
3724 ,3724 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Cricket Uniforms,Cricket Uniforms
3958 ,3958 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Hockey Uniforms,Hockey Uniforms
4003 ,4003 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Martial Arts Uniforms,Martial Arts Uniforms
3253 ,3253 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Officiating Uniforms,Officiating Uniforms
5564 ,5564 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Soccer Uniforms,Soccer Uniforms
3379 ,3379 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Softball Uniforms,Softball Uniforms
3852 ,3852 - Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Wrestling Uniforms,Wrestling Uniforms
2292 ,2292 - Apparel & Accessories > Clothing > Uniforms > White Coats,White Coats
5441 ,5441 - Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses,Wedding & Bridal Party Dresses
5330 ,5330 - Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses,Bridal Party Dresses
